risk_tolerance,investment_experience,liquidity_needs,time_spent,first_deposit_amount,time_horizon,churned_01
3,3,5,4.71173333333,50.0,1,1
3,3,3,37.3352,1000.0,3,1
5,1,5,6.39796666667,20.0,1,1
3,1,3,1.31748333333,10.0,1,1
5,3,5,68.6036166667,500.0,5,1
5,1,3,133.673,10.0,1,1
5,5,5,75.5489166667,1000.0,5,1
5,1,5,12.9539333333,10.0,1,1
5,3,5,0.0,10.0,1,1
5,5,3,6.38076666667,10.0,5,1
5,3,3,6.60558333333,10.0,1,1
5,3,5,0.0,100.0,1,1
3,3,5,3.26953333333,10.0,3,1
5,1,5,33.0086666667,100.0,1,1
5,1,3,115.9806,10.0,1,1
5,5,3,38.3028,10.0,5,1
3,1,5,59.7998166667,10.0,3,1
3,3,5,13.8169666667,100.0,5,1
5,3,5,57.9219166667,50.0,1,1
5,3,5,24.7683166667,10.0,3,1
5,3,5,12.8989333333,10.0,1,1
5,1,5,19.6649,10.0,1,1
3,3,3,14.7313,10.0,5,1
3,1,5,24.2785833333,10.0,1,1
5,3,3,17.32635,10.0,1,1
3,3,5,26.0497666667,10.0,1,1
5,3,5,51.1892666667,1.0,5,1
5,3,3,46.7696666667,10.0,1,1
5,3,5,148.060133333,10.0,1,1
3,1,5,48.0386333333,10.0,3,1
5,3,5,117.27015,5.0,3,1
5,3,5,0.0,50.0,1,1
5,1,5,17.4206333333,10.0,3,1
5,3,3,181.9653,10.0,5,1
1,3,5,31.6521166667,10.0,1,1
3,3,5,5.99543333333,10.0,1,1
3,1,5,18.7777666667,10.0,5,1
3,1,3,13.56685,0.0,1,1
5,5,3,5.95221666667,5.0,5,1
5,3,5,106.300516667,10.0,1,1
3,5,3,65.2963,2.0,1,1
5,3,5,180.071816667,10.0,3,1
5,1,3,59.4249166667,10.0,1,1
3,3,3,37.9011833333,200.0,1,1
3,3,5,15.07905,10.0,1,1
5,1,5,67.7451833333,10.0,5,1
5,5,5,15.2453333333,12000.0,5,1
3,1,5,22.7238833333,10.0,5,1
5,3,3,7.21746666667,10.0,1,1
3,3,3,10.0313166667,10.0,3,1
5,1,3,31.07685,10.0,5,1
3,3,5,43.69105,10.0,1,1
3,1,3,36.39415,0.0,3,1
3,1,3,14.9307833333,5.0,1,1
3,1,5,71.01115,10.0,1,1
3,1,3,6.48821666667,10.0,5,1
3,1,3,2.99336666667,10.0,1,1
5,3,5,33.0889333333,50.0,1,1
3,3,5,11.05935,10.0,5,1
3,1,3,27.5791333333,10.0,1,1
3,1,5,2.1399,8.14,5,1
5,3,5,81.1870166667,5.0,1,1
3,1,5,18.7623333333,10.0,1,1
5,3,5,16.8714833333,5.0,1,1
5,3,5,62.1192833333,10.0,1,1
5,1,5,2.4919,20.0,1,1
5,1,5,95.3487333333,5.0,3,1
5,3,5,16.3862666667,5.0,1,1
3,1,5,53.1107,100.0,1,1
1,1,5,11.9732166667,10.0,5,1
3,3,5,0.0,50.0,5,1
3,3,3,63.2239833333,0.0,3,1
5,1,5,22.5708333333,12.81,3,1
3,5,5,15.4363166667,10.0,1,1
5,1,1,52.9349833333,500.0,1,1
5,1,5,0.0,100.0,5,1
5,5,5,34.4021333333,10.0,5,1
5,3,5,25.0440833333,10.0,5,1
5,5,3,12.4453166667,10.0,5,1
5,5,3,13.8018666667,10.0,5,1
3,5,5,46.9160666667,0.0,1,1
5,1,5,6.76576666667,100.0,1,1
